time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
164075, 0.35, 0.07, 0.94, 16.17, -8.36, 1.16, 30.44, -13.09, -49.79, 101.45
164201, 0.04, -0.09, 0.74, 7.20, -6.41, 8.85, 30.94, -13.15, -50.16, 101.45
164327, 0.11, -0.02, 0.81, 4.82, -3.60, -0.98, 31.19, -13.34, -49.62, 101.45
164453, 0.14, -0.12, 0.82, 6.41, -3.66, -3.54, 31.80, -13.65, -50.71, 101.45
164579, 0.15, 0.03, 1.11, -3.36, -3.30, -2.20, 32.37, -14.23, -51.27, 101.45
164706, 0.22, 0.01, 0.83, -9.28, -13.12, -3.23, 32.20, -13.90, -50.24, 101.45
164832, 0.17, -0.16, 0.87, 2.38, -0.92, 5.07, 32.71, -14.51, -49.35, 101.45
164959, 0.09, -0.27, 0.96, 6.35, -8.91, 5.31, 32.04, -13.89, -50.67, 101.45
165092, 0.24, -0.14, 0.90, 1.22, -3.91, 12.76, 31.91, -14.40, -50.04, 101.45
165218, 0.22, 0.01, 0.87, 1.46, -1.59, 16.60, 31.43, -13.81, -49.32, 101.45
165346, 0.24, 0.03, 0.92, -0.79, 4.09, 9.77, 31.08, -13.51, -47.85, 101.45
165472, 0.12, -0.05, 0.80, -6.04, 10.44, 1.59, 30.40, -12.92, -48.67, 101.44
165599, 0.24, -0.14, 0.74, -3.17, 9.28, 2.08, 30.83, -11.56, -49.02, 101.45
165726, 0.26, -0.15, 1.18, 10.31, -13.92, -5.00, 30.16, -11.10, -49.60, 101.44
165852, 0.20, -0.04, 0.69, -8.42, 8.61, 6.04, 29.71, -11.21, -50.28, 101.45



